,name,link,affiliations,email,cited_by
184,Abdul Muin,https://scholar.google.com/citations?hl=en&user=8Ibux0wAAAAJ,"Associate Professor of Mathematics Education, Universitas Islam Negeri Syarif Hidayatullah …",Verified email at uinjkt.ac.id,280
185,Muhammad Maksum,https://scholar.google.com/citations?hl=en&user=zRIGK8UAAAAJ,"lecturer of islamic law and islamic economic, State Islamic University Syarif …",Verified email at uinjkt.ac.id,278
186,Yuli Amran,https://scholar.google.com/citations?hl=en&user=u3nefoUAAAAJ,"Dosen Kesehatan Masyarakat, UIN Syarif Hidayatullah, Jakarta",Verified email at uinjkt.ac.id,277
187,Zaimudin,https://scholar.google.com/citations?hl=en&user=z8lAlTEAAAAJ,Universitas Islam Negeri Syarif Hidayatullah Jakarta,Verified email at uinjkt.ac.id,275
188,Amilin,https://scholar.google.com/citations?hl=en&user=UYZE0-wAAAAJ,State Islamic University (UIN) Syarif Hidayatullah Jakarta,Verified email at uinjkt.ac.id,272
189,Johan Wahyudi,https://scholar.google.com/citations?hl=en&user=BadhMD8AAAAJ,UIN Syarif Hidayatullah Jakarta,Verified email at uinjkt.ac.id,267
190,Nur Inayah,https://scholar.google.com/citations?hl=en&user=qR92LgkAAAAJ,UIN Syarif Hidayatullah jakarta,Verified email at uinjkt.ac.id,266
191,Fase Badriah,https://scholar.google.com/citations?hl=en&user=dC6te1EAAAAJ,UIN Syarif HIdayatullah Jakarta,Verified email at uinjkt.ac.id,265
192,Nur Aeni Hidayah,https://scholar.google.com/citations?hl=en&user=-mYDEosAAAAJ,"Department of Information System, Faculty of Science and Technology, Syarif Hidayatullah …",Verified email at uinjkt.ac.id,265
193,Gelar Dwirahayu,https://scholar.google.com/citations?hl=en&user=ypED2r4AAAAJ,"Doctor of Math Education, UIN Syarif Hidayatullah Jakarta",Verified email at uinjkt.ac.id,265
194,Lily Surayya Eka Putri,https://scholar.google.com/citations?hl=en&user=MgVgflUAAAAJ,"Professor of Environmental Biology, State Islamic University Syarif Hidayatullah Jakarta",Verified email at uinjkt.ac.id,264
195,Muhammad Zuhdi,https://scholar.google.com/citations?hl=en&user=yO1ItJkAAAAJ,UIN Syarif Hidayatullah Jakarta,Verified email at uinjkt.ac.id,259
196,Qurrotul Aini,https://scholar.google.com/citations?hl=en&user=sRs85fMAAAAJ,UIN Syarif Hidayatullah Jakarta,Verified email at uinjkt.ac.id,258
197,Fathiah Alatas,https://scholar.google.com/citations?hl=en&user=fbhb5CQAAAAJ,Universitas Islam Negeri Syarif Hidayatullah Jakarta,Verified email at uinjkt.ac.id,257
198,Suhendra,https://scholar.google.com/citations?hl=en&user=9hraqbMAAAAJ,"Dosen Komunikasi, Universitas Islam Negeri Syarif Hidayatullah Jakarta",Verified email at uinjkt.ac.id,256
199,Nanda Saridewi,https://scholar.google.com/citations?hl=en&user=2bqc0F4AAAAJ,"Magister Kimia, Syarif Hidayatullah State Islamic University (UIN) of Jakarta",Verified email at uinjkt.ac.id,255
200,"Mohammad Hasan Ansori, Ph.D.",https://scholar.google.com/citations?hl=en&user=DuJhCccAAAAJ,"Universitas Islam Negeri Syarif Hidayatullah, Jakarta",Verified email at uinjkt.ac.id,255
201,IMAS NOVITA JUANINGSIH,https://scholar.google.com/citations?hl=en&user=DAvxymUAAAAJ,Researcher at Poskolegnas UIN Syarifhidayatullah Jakarta,Verified email at mhs.uinjkt.ac.id,254
202,Kadir Kadir,https://scholar.google.com/citations?hl=en&user=m4CrC4UAAAAJ,Associate Professor at Department of Mathematics Education UIN Syarif Hidayatullah …,Verified email at uinjkt.ac.id,252
203,Arini,https://scholar.google.com/citations?hl=en&user=KNxRkIwAAAAJ,"Teknik Informatika, FST, UIN Sarif HidayatullahJakarta",Verified email at uinjkt.ac.id,252
204,Nanda Saridewi,https://scholar.google.com/citations?hl=en&user=W0ejy-YAAAAJ,"Magister of chemistry science, Syarif Hidayatullah State Islamic University, Jakarta",Verified email at uinjkt.ac.id,250
205,Badrus Sholeh,https://scholar.google.com/citations?hl=en&user=fBspJSsAAAAJ,Syarif Hidayatullah State Islamic University Jakarta,Verified email at uinjkt.ac.id,247
206,Ah. Azharuddin Lathif,https://scholar.google.com/citations?hl=en&user=G4tzJJwAAAAJ,UIN Syarif Hidayatullah Jakarta,Verified email at uinjkt.ac.id,244
207,"Muh Shohibussirri M.ALG, M.ALGR",https://scholar.google.com/citations?hl=en&user=sPehtcAAAAAJ,UIN Syarif Hidayatullah,Verified email at uinjkt.ac.id,243
208,MUHAMMAD CALFIN MAULANA,https://scholar.google.com/citations?hl=en&user=O31I8ioAAAAJ,Universitas Islam Negeri Syarif Hidayatullah Jakarta,Verified email at mhs.uinjkt.ac.id,243
209,Hanifa Setianingrum,https://scholar.google.com/citations?hl=en&user=Na2Z2loAAAAJ,Computer Science Facult of Science Technology UIN Jakarta,Verified email at uinjkt.ac.id,239
210,Isnawati Rais (orcid.org/0000-0002-5122-5467),https://scholar.google.com/citations?hl=en&user=bL9g9BwAAAAJ,UIN Syarif Hidayatullah Jakarta,Verified email at uinjkt.ac.id,239
,,,,,122917
