,name,link,affiliations,email,cited_by
73,Iwan Purwanto,https://scholar.google.com/citations?hl=en&user=9kP0SPoAAAAJ,"Ekonomi Pendidikan, UIN Syarif Hidayatullah Jakarta",Verified email at uinjkt.ac.id,679
74,M. Asrorun Niam Sholeh,https://scholar.google.com/citations?hl=en&user=55LUYtIAAAAJ,Associate Professor UIN Syarif Hidayatullah Jakarta,Verified email at uinjkt.ac.id,679
75,Aries Susanto HT,https://scholar.google.com/citations?hl=en&user=TWdooDkAAAAJ,UIN Syarif Hidayatullah Jakarta,Verified email at uinjkt.ac.id,666
76,Andi M. Faisal Bakti,https://scholar.google.com/citations?hl=en&user=UW5-kEIAAAAJ,"Faculty of Communication and Da'wa, Syarif Hidayatullah State Islamic University Jakarta",Verified email at uinjkt.ac.id,666
77,A. Ilyas Ismail,https://scholar.google.com/citations?hl=en&user=LaMm_WwAAAAJ,Universitas Islam Negeri Syarif Hidayatullah Jakarta,Verified email at uinjkt.ac.id,644
78,Abdul Rozak,https://scholar.google.com/citations?hl=en&user=z5QBeIUAAAAJ,UIN Syarif Hidayatullah Jakarta,Verified email at uinjkt.ac.id,637
79,Gun Gun Heryanto,https://scholar.google.com/citations?hl=en&user=-_iGluoAAAAJ,"Political Communication Lecturer, UIN Syarif Hidayatullah Jakarta",Verified email at uinjkt.ac.id,633
80,Dede Sukandar,https://scholar.google.com/citations?hl=en&user=QOhEh70AAAAJ,Magister Kimia ITB,Verified email at uinjkt.ac.id,622
81,"Prof. Dr. Yunasril Ali, MA",https://scholar.google.com/citations?hl=en&user=ZRlN8h8AAAAJ,Universitas Islam Negeri Syarif Hidayatullah Jakarta,Verified email at uinjkt.ac.id,611
82,Toto Edidarmo,https://scholar.google.com/citations?hl=en&user=eo3TrL8AAAAJ,Syarif Hidayatullah State Islamic University of Jakarta,Verified email at uinjkt.ac.id,604
83,Zaimul Am,https://scholar.google.com/citations?hl=en&user=l4sswVcAAAAJ,Associate Professor Universitas Islam Negeri Syarif Hidayatullah Jakarta,Verified email at uinjkt.ac.id,602
84,Asrori S. Karni,https://scholar.google.com/citations?hl=en&user=6oH8aicAAAAJ,Fakultas Syariah dan Hukum UIN Jakarta,Verified email at uinjkt.ac.id,599
85,Syopiansyah Jaya Putra (orcid.org/0000-0001-7146-0547),https://scholar.google.com/citations?hl=en&user=IwGaBnUAAAAJ,"Faculty of Science and Technology, UIN Syarif Hidayatullah Jakarta",Verified email at uinjkt.ac.id,591
86,"Dr.Fitri Amalia, M.Si",https://scholar.google.com/citations?hl=en&user=VUdQLc4AAAAJ,Universitas Islam Negeri Syarif Hidayatullah,Verified email at uinjkt.ac.id,581
87,Ahsin Sakho Bin Muhammad Asyrofuddin,https://scholar.google.com/citations?hl=en&user=nuQvcfYAAAAJ,UIN Syarif Hidayatullah Jakarta,Verified email at uinjkt.ac.id,577
88,Bambang Suryadi,https://scholar.google.com/citations?hl=en&user=uNYcfmYAAAAJ,"Lecturer of Faculty of Psychology, UIN Jakarta",Verified email at uinjkt.ac.id,575
89,"Dr. Nurul Ichsan, MA",https://scholar.google.com/citations?hl=en&user=zuSWJdAAAAAJ,Fakultas Ekonomi dan Bisnis Universitas Islam Negeri Syarif Hidayatullah Jakarta,Verified email at uinjkt.ac.id,575
90,Alek Alek,https://scholar.google.com/citations?hl=en&user=oTKzyDAAAAAJ,Universitas Islam Negeri Syarif Hidayatullah Jakarta,Verified email at uinjkt.ac.id,555
91,Salman Harun,https://scholar.google.com/citations?hl=en&user=IcdDQqoAAAAJ,UIN Syarif Hidayatullah Jakarta,Verified email at uinjkt.ac.id,540
92,"Assoc. Prof. Dr. KH. Mujar Ibnu Syarif, SH, MA ( Scopus ID=57610715300, orcid.org/0000-0002-2379",https://scholar.google.com/citations?hl=en&user=Jx2CrhcAAAAJ,UIN Syarif Hidayatullah Jakarta/Syarif Hidayatullah State Islamic University,Verified email at uinjkt.ac.id,539
93,M. Ridwan Lubis,https://scholar.google.com/citations?hl=en&user=9vSJueQAAAAJ,UIN Syarif Hidayatullah Jakarta,Verified email at uinjkt.ac.id,534
94,Iwan Permana Suwarna,https://scholar.google.com/citations?hl=en&user=jyiD7WAAAAAJ,Universitas Islam Negeri Syarif Hidayatullah Jakarta,Verified email at uinjkt.ac.id,533
